"","prl_multi.id_x","prl_multi.x1","prl_multi.x2","prl_multi.f_name_nysiis","prl_multi.l_name_nysiis","prl_multi.year","prl_multi.g","prl_multi.id_y","prl_multi.y","prl_multi.f_name_nysiis_1","prl_multi.l_name_nysiis_1","prl_multi.year_1","prl_multi.true_match","prl_multi.posterior","prl_multi.n"
"1",1,FALSE,-0.558333800580776,"SANANT","TAD",1916,0.646713919289022,1,1.76622280757813,"SANANT","TAD",1916,TRUE,0.8411341260305,1
"2",3,FALSE,1.58694682797052,"RAN","GADWAN",1923,1.16401669895852,3,1.51004864736839,"RAN","GADWAN",1923,TRUE,0.8411341260305,1
"3",6,FALSE,-0.261162934862475,"EN","SNAT",1910,2.42423982366387,6,3.76321375995091,"EN","SNAT",1910,TRUE,0.8411341260305,1
"4",349,FALSE,-1.63561175256452,"ELASAB","CRASTA",1924,1.54472380016208,17,4.49611271908272,"ELASAB","CRASTA",1924,FALSE,0.8411341260305,2
"5",20,TRUE,1.30700947661043,"JASAC","SNAT",1913,3.53189482834423,20,7.02283041765025,"JASAC","SNAT",1913,TRUE,0.8411341260305,1
"6",26,TRUE,-0.465037964318489,"JA","AVAL",1922,1.63138864116346,26,2.07020871514676,"JA","AVAL",1921,TRUE,0.8411341260305,1
"7",28,TRUE,0.478195774670051,"GRAC","WALPAR",1906,1.82768022766333,28,2.22015713896889,"GRAC","WALPAR",1906,TRUE,0.8411341260305,1
"8",29,FALSE,-2.51173377750482,"BRANDA","CRASTA",1925,1.74564671906803,29,1.26330169589588,"BRANDA","CRASTA",1925,TRUE,0.8411341260305,1
"9",644,FALSE,2.56515782317406,"ZACARY","CRASTA",1904,1.48641815931407,34,3.39344563214464,"ZACARY","CRASTA",1904,FALSE,0.8411341260305,2
"10",34,FALSE,1.19192741746085,"ZACARY","CRASTA",1904,1.48641815931407,34,3.39344563214464,"ZACARY","CRASTA",1904,TRUE,0.8411341260305,2
